KELOMPOK,KODE,KETERANGAN,ID_BAHAN,KOEFISIEN
b. Upah,SNI-K.6.2,LANTAI 1,L.008,0.01
b. Upah,SNI-K.6.2,LANTAI 1,L.002,0.5
b. Upah,SNI-K.6.2,LANTAI 1,L.007,0.01
b. Upah,SNI-K.6.2,LANTAI 1,L.010,0.005
b. Upah,SNI-K.6.3,LANTAI 1,L.010,0.005
b. Upah,SNI-K.6.3,LANTAI 1,L.007,0.01
b. Upah,SNI-K.6.3,LANTAI 1,L.002,0.5
b. Upah,SNI-K.6.3,LANTAI 1,L.008,0.01
a. Bahan,SNI-K.6.3,LANTAI 1,M.014b,1
a. Bahan,SNI-K.6.5,LANTAI 1,M.014c,1
b. Upah,SNI-K.6.5,LANTAI 1,L.008,0.015
b. Upah,SNI-K.6.5,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.5,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.5,LANTAI 1,L.010,0.0008
a. Bahan,SNI-K.6.6,LANTAI 1,M.014d,1
b. Upah,SNI-K.6.6,LANTAI 1,L.008,0.015
b. Upah,SNI-K.6.6,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.6,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.6,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.7,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.7,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.7,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.7,LANTAI 1,L.008,0.015
b. Upah,SNI-K.6.9,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.9,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.9,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.9,LANTAI 1,L.008,0.015
b. Upah,SNI-K.6.9.a,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.9.a,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.9.a,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.9.a,LANTAI 1,L.008,0.015
a. Bahan,SNI-K.6.7,LANTAI 1,M.014e,1
a. Bahan,SNI-K.6.9,LANTAI 1,M.014f,1
a. Bahan,SNI-K.6.9.a,LANTAI 1,M.014f.1,1
a. Bahan,SNI-K.6.10,LANTAI 1,M.014g,1
b. Upah,SNI-K.6.10,LANTAI 1,L.008,0.05
b. Upah,SNI-K.6.10,LANTAI 1,L.002,0.5
b. Upah,SNI-K.6.10,LANTAI 1,L.007,0.05
b. Upah,SNI-K.6.10,LANTAI 1,L.010,0.0025
a. Bahan,SNI-K.6.11,LANTAI 1,M.014h,1
b. Upah,SNI-K.6.11,LANTAI 1,L.008,0.02
b. Upah,SNI-K.6.11,LANTAI 1,L.002,0.2
b. Upah,SNI-K.6.11,LANTAI 1,L.007,0.02
b. Upah,SNI-K.6.11,LANTAI 1,L.010,0.001
a. Bahan,SNI-K.6.12,LANTAI 1,M.014i,1
b. Upah,SNI-K.6.12,LANTAI 1,L.008,0.05
b. Upah,SNI-K.6.12,LANTAI 1,L.002,0.5
b. Upah,SNI-K.6.12,LANTAI 1,L.007,0.05
b. Upah,SNI-K.6.12,LANTAI 1,L.010,0.0005
a. Bahan,SNI-K.6.13,LANTAI 1,M.014j,1
b. Upah,SNI-K.6.13,LANTAI 1,L.008,0.01
b. Upah,SNI-K.6.13,LANTAI 1,L.002,0.1
b. Upah,SNI-K.6.13,LANTAI 1,L.007,0.01
b. Upah,SNI-K.6.13,LANTAI 1,L.010,0.0005
a. Bahan,SNI-K.6.14,LANTAI 1,M.014k,1
b. Upah,SNI-K.6.14,LANTAI 1,L.008,0.06
b. Upah,SNI-K.6.14,LANTAI 1,L.002,0.6
b. Upah,SNI-K.6.14,LANTAI 1,L.007,0.06
b. Upah,SNI-K.6.14,LANTAI 1,L.010,0.003
a. Bahan,SNI-K.6.16,LANTAI 1,M.008,1.1
b. Upah,SNI-K.6.16,LANTAI 1,L.008,0.015
b. Upah,SNI-K.6.16,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.16,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.16,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.17,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.17,LANTAI 1,L.007,0.015
b. Upah,SNI-K.6.17,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.17,LANTAI 1,L.008,0.015
a. Bahan,SNI-K.6.17,LANTAI 1,M.008a,1.1
a. Bahan,SNI-K.6.18,LANTAI 1,M.008b,1.1
b. Upah,SNI-K.6.18,LANTAI 1,L.008,0.0165
b. Upah,SNI-K.6.18,LANTAI 1,L.002,0.165
b. Upah,SNI-K.6.18,LANTAI 1,L.007,0.0165
b. Upah,SNI-K.6.18,LANTAI 1,L.010,0.0008
a. Bahan,SNI-K.6.20,LANTAI 1,M.008c,1.1
b. Upah,SNI-K.6.20,LANTAI 1,L.008,0.015
b. Upah,SNI-K.6.20,LANTAI 1,L.010,0.0008
b. Upah,SNI-K.6.20,LANTAI 1,L.002,0.15
b. Upah,SNI-K.6.20,LANTAI 1,L.007,0.015
a. Bahan,SNI-L.6.2,LANTAI 1,M.004q,11.87
a. Bahan,SNI-L.6.2,LANTAI 1,M.002a,10
a. Bahan,SNI-L.6.2,LANTAI 1,M.001a,0.0215
b. Upah,SNI-L.6.2,LANTAI 1,L.008,0.26
b. Upah,SNI-L.6.2,LANTAI 1,L.001,0.125
b. Upah,SNI-L.6.2,LANTAI 1,L.007,0.0125
b. Upah,SNI-L.6.2,LANTAI 1,L.010,0.013
b. Upah,SNI-L.6.3,LANTAI 1,L.010,0.0135
b. Upah,SNI-L.6.3,LANTAI 1,L.007,0.013
b. Upah,SNI-L.6.3,LANTAI 1,L.001,0.13
b. Upah,SNI-L.6.3,LANTAI 1,L.008,0.27
a. Bahan,SNI-L.6.3,LANTAI 1,M.001a,0.0135
a. Bahan,SNI-L.6.3,LANTAI 1,M.002a,10.4
a. Bahan,SNI-L.6.3,LANTAI 1,M.004p,26.5
a. Bahan,SNI-L.6.44,LANTAI 1,M.004,26.5
a. Bahan,SNI-L.6.44,LANTAI 1,M.002a,11.38
a. Bahan,SNI-L.6.44,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.44,LANTAI 1,M.002b,1.5
b. Upah,SNI-L.6.44,LANTAI 1,L.008,0.62
b. Upah,SNI-L.6.44,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.44,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.44,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.44a,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.44a,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.44a,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.44a,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.44a,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.44a,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.44a,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.44b,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.44b,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.44b,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.44b,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.44b,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.44b,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.44b,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.68c,LANTAI 1,L.008,0.6
a. Bahan,SNI-L.6.68c,LANTAI 1,M.002b,1.5
b. Upah,SNI-L.6.47,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47a,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47a,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47a,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47a,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47a,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47a,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47a,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47b,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47b,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47b,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47b,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47b,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47b,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47b,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47c,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47c,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47c,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47c,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47c,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47c,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47c,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47d,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47d,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47d,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47d,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47d,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47d,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47d,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47e,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47e,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47e,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47e,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47e,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47e,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47e,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47f,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47f,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47f,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47f,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47f,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47f,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47f,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47g,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.47g,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47g,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47g,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47g,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47g,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47g,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.47h,LANTAI 1,L.010,0.03
a. Bahan,SNI-L.6.68c,LANTAI 1,M.001a,0.018
a. Bahan,SNI-L.6.68c,LANTAI 1,M.002a,9.3
b. Upah,SNI-L.6.68d,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.68d,LANTAI 1,L.007,0.045
b. Upah,SNI-L.6.68d,LANTAI 1,L.001,0.1
b. Upah,SNI-L.6.68d,LANTAI 1,L.008,0.6
a. Bahan,SNI-L.6.68d,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.68d,LANTAI 1,M.004o.2,21
b. Upah,SNI-L.6.47h,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.47h,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.47h,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.47h,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.47h,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.47h,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48a,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48a,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48a,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48a,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48a,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48a,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48a,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48b,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48b,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48b,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48b,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48b,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48b,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48b,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48c,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48c,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48c,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48c,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48c,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48c,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48c,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48d,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48d,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48d,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48d,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48d,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48d,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48d,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48e,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48e,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48e,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48e,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48e,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48e,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48e,LANTAI 1,M.002a,11.38
b. Upah,SNI-L.6.48f,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.48f,LANTAI 1,L.007,0.035
b. Upah,SNI-L.6.48f,LANTAI 1,L.001,0.35
b. Upah,SNI-L.6.48f,LANTAI 1,L.008,0.62
a. Bahan,SNI-L.6.48f,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.48f,LANTAI 1,M.001a,0.042
a. Bahan,SNI-L.6.48f,LANTAI 1,M.002a,11.38
a. Bahan,SNI-L.6.68d,LANTAI 1,M.001a,0.018
a. Bahan,SNI-L.6.68d,LANTAI 1,M.002a,9.3
b. Upah,SNI-L.6.68e,LANTAI 1,L.010,0.03
b. Upah,SNI-L.6.68e,LANTAI 1,L.007,0.045
b. Upah,SNI-L.6.68e,LANTAI 1,L.001,0.1
b. Upah,SNI-L.6.68e,LANTAI 1,L.008,0.6
a. Bahan,SNI-L.6.68e,LANTAI 1,M.004o.3,21
a. Bahan,SNI-L.6.68e,LANTAI 1,M.002b,1.5
a. Bahan,SNI-L.6.68e,LANTAI 1,M.001a,0.018
a. Bahan,SNI-L.6.68e,LANTAI 1,M.002a,9.3
a. Bahan,SNI-L.6.68a,LANTAI 1,M.004n,26.5
a. Bahan,SNI-L.6.68c,LANTAI 1,M.004o.1,21
a. Bahan,SNI-M.6.1,LANTAI 1,M.012l,0.05
b. Upah,SNI-M.6.1,LANTAI 1,L.008,0.15
b. Upah,SNI-M.6.1,LANTAI 1,L.010,0.0025
a. Bahan,SNI-M.6.6,LANTAI 1,M.012e,0.08
a. Bahan,SNI-M.6.6,LANTAI 1,M.011g,0.02
a. Bahan,SNI-M.6.6,LANTAI 1,M.012,0.01
b. Upah,SNI-M.6.6,LANTAI 1,L.008,0.04
b. Upah,SNI-M.6.6,LANTAI 1,L.004,0.04
b. Upah,SNI-M.6.6,LANTAI 1,L.007,0.004
b. Upah,SNI-M.6.6,LANTAI 1,L.010,0.0025
a. Bahan,SNI-M.6.7,LANTAI 1,M.012b,0.15
a. Bahan,SNI-M.6.7,LANTAI 1,M.011,0.34
b. Upah,SNI-M.6.7,LANTAI 1,L.008,0.07
b. Upah,SNI-M.6.7,LANTAI 1,L.004,0.075
b. Upah,SNI-M.6.7,LANTAI 1,L.007,0.0075
b. Upah,SNI-M.6.7,LANTAI 1,L.010,0.0025
a. Bahan,SNI-M.6.8,LANTAI 1,M.011f,0.2
a. Bahan,SNI-M.6.8,LANTAI 1,M.012b,0.15
a. Bahan,SNI-M.6.8,LANTAI 1,M.011,0.43
b. Upah,SNI-M.6.8,LANTAI 1,L.008,0.07
b. Upah,SNI-M.6.8,LANTAI 1,L.004,0.009
b. Upah,SNI-M.6.8,LANTAI 1,L.007,0.006
b. Upah,SNI-M.6.8,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.8a,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.8a,LANTAI 1,L.007,0.006
b. Upah,SNI-M.6.8a,LANTAI 1,L.004,0.009
b. Upah,SNI-M.6.8a,LANTAI 1,L.008,0.07
a. Bahan,SNI-M.6.8a,LANTAI 1,M.012b,0.15
a. Bahan,SNI-M.6.8a,LANTAI 1,M.011f,0.2
a. Bahan,SNI-M.6.8a,LANTAI 1,M.011a,0.43
a. Bahan,SNI-M.6.9,LANTAI 1,M.011f,0.2
a. Bahan,SNI-M.6.9,LANTAI 1,M.012b,0.15
a. Bahan,SNI-M.6.9,LANTAI 1,M.011,0.52
b. Upah,SNI-M.6.9,LANTAI 1,L.008,0.07
b. Upah,SNI-M.6.9,LANTAI 1,L.004,0.105
b. Upah,SNI-M.6.9,LANTAI 1,L.007,0.004
b. Upah,SNI-M.6.9,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.9a,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.9a,LANTAI 1,L.007,0.004
b. Upah,SNI-M.6.9a,LANTAI 1,L.004,0.105
b. Upah,SNI-M.6.9a,LANTAI 1,L.008,0.07
a. Bahan,SNI-M.6.9a,LANTAI 1,M.012b,0.15
a. Bahan,SNI-M.6.9a,LANTAI 1,M.011f,0.2
a. Bahan,SNI-M.6.9a,LANTAI 1,M.011a,0.52
a. Bahan,SNI-M.6.11,LANTAI 1,M.012h,0.522
a. Bahan,SNI-M.6.11,LANTAI 1,M.012c,2
b. Upah,SNI-M.6.11,LANTAI 1,L.004,0.06
b. Upah,SNI-M.6.11,LANTAI 1,L.007,0.016
b. Upah,SNI-M.6.11,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.11a,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.11a,LANTAI 1,L.007,0.016
b. Upah,SNI-M.6.11a,LANTAI 1,L.004,0.06
a. Bahan,SNI-M.6.11a,LANTAI 1,M.012c,2
a. Bahan,SNI-M.6.11a,LANTAI 1,M.012m,0.522
a. Bahan,SNI-M.6.12,LANTAI 1,M.012j,0.35
b. Upah,SNI-M.6.12,LANTAI 1,L.008,0.1
b. Upah,SNI-M.6.12,LANTAI 1,L.010,0.006
a. Bahan,SNI-M.6.14,LANTAI 1,M.012a,0.1
a. Bahan,SNI-M.6.14,LANTAI 1,M.011a.1,0.36
b. Upah,SNI-M.6.14,LANTAI 1,L.008,0.02
b. Upah,SNI-M.6.14,LANTAI 1,L.004,0.063
b. Upah,SNI-M.6.14,LANTAI 1,L.007,0.0063
b. Upah,SNI-M.6.14,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.14a,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.14a,LANTAI 1,L.007,0.0063
b. Upah,SNI-M.6.14a,LANTAI 1,L.004,0.063
b. Upah,SNI-M.6.14a,LANTAI 1,L.008,0.02
a. Bahan,SNI-M.6.14a,LANTAI 1,M.012a,0.1
b. Upah,SNI-M.6.14b,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.14b,LANTAI 1,L.007,0.0063
b. Upah,SNI-M.6.14b,LANTAI 1,L.004,0.063
b. Upah,SNI-M.6.14b,LANTAI 1,L.008,0.02
a. Bahan,SNI-M.6.14b,LANTAI 1,M.012a,0.1
b. Upah,SNI-M.6.14c,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.14c,LANTAI 1,L.007,0.0063
b. Upah,SNI-M.6.14c,LANTAI 1,L.004,0.063
b. Upah,SNI-M.6.14c,LANTAI 1,L.008,0.02
a. Bahan,SNI-M.6.14c,LANTAI 1,M.012a,0.1
b. Upah,SNI-M.6.14d,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.14d,LANTAI 1,L.007,0.0063
b. Upah,SNI-M.6.14d,LANTAI 1,L.004,0.063
b. Upah,SNI-M.6.14d,LANTAI 1,L.008,0.02
a. Bahan,SNI-M.6.14d,LANTAI 1,M.012a,0.1
a. Bahan,SNI-M.6.14a,LANTAI 1,M.011a.2,0.36
a. Bahan,SNI-M.6.14b,LANTAI 1,M.011b,0.36
a. Bahan,SNI-M.6.14c,LANTAI 1,M.011c,0.36
a. Bahan,SNI-M.6.14d,LANTAI 1,M.011d,0.36
a. Bahan,SNI-M.6.15,LANTAI 1,M.011a.1,0.3
b. Upah,SNI-M.6.15,LANTAI 1,L.008,0.028
b. Upah,SNI-M.6.15,LANTAI 1,L.004,0.042
b. Upah,SNI-M.6.15,LANTAI 1,L.007,0.0042
b. Upah,SNI-M.6.15,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.15a,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.15a,LANTAI 1,L.007,0.0042
b. Upah,SNI-M.6.15a,LANTAI 1,L.004,0.042
b. Upah,SNI-M.6.15a,LANTAI 1,L.008,0.028
b. Upah,SNI-M.6.15b,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.15b,LANTAI 1,L.007,0.0042
b. Upah,SNI-M.6.15b,LANTAI 1,L.004,0.042
b. Upah,SNI-M.6.15b,LANTAI 1,L.008,0.028
b. Upah,SNI-M.6.15c,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.15c,LANTAI 1,L.007,0.0042
b. Upah,SNI-M.6.15c,LANTAI 1,L.004,0.042
b. Upah,SNI-M.6.15c,LANTAI 1,L.008,0.028
b. Upah,SNI-M.6.15d,LANTAI 1,L.010,0.0025
b. Upah,SNI-M.6.15d,LANTAI 1,L.007,0.0042
b. Upah,SNI-M.6.15d,LANTAI 1,L.004,0.042
b. Upah,SNI-M.6.15d,LANTAI 1,L.008,0.028
a. Bahan,SNI-M.6.15a,LANTAI 1,M.011a.2,0.3
a. Bahan,SNI-M.6.15b,LANTAI 1,M.011b,0.3
a. Bahan,SNI-M.6.15c,LANTAI 1,M.011c,0.3
a. Bahan,SNI-M.6.15d,LANTAI 1,M.011d,0.3
a. Bahan,SNI-M.6.17,LANTAI 1,M.012c,0.1
a. Bahan,SNI-M.6.17,LANTAI 1,M.012i,0.25
a. Bahan,SNI-M.6.17,LANTAI 1,M.005u,0.002
a. Bahan,SNI-M.6.17,LANTAI 1,M.012f,0.15
b. Upah,SNI-M.6.17,LANTAI 1,L.008,0.15
b. Upah,SNI-M.6.17,LANTAI 1,L.004,0.001
b. Upah,SNI-M.6.17,LANTAI 1,L.007,0.0001
b. Upah,SNI-M.6.17,LANTAI 1,L.010,0.0025
a. Bahan,SNI-M.6.18,LANTAI 1,M.005u,0.002
a. Bahan,SNI-M.6.18,LANTAI 1,M.012f,0.3
b. Upah,SNI-M.6.18,LANTAI 1,L.008,0.04
b. Upah,SNI-M.6.18,LANTAI 1,L.004,0.005
b. Upah,SNI-M.6.18,LANTAI 1,L.007,0.005
b. Upah,SNI-M.6.18,LANTAI 1,L.010,0.0025
a. Bahan,SNI-M.6.20,LANTAI 1,M.011h,0.1
a. Bahan,SNI-M.6.20,LANTAI 1,M.012n,0.01
b. Upah,SNI-M.6.20,LANTAI 1,L.008,0.02
b. Upah,SNI-M.6.20,LANTAI 1,L.004,0.2
b. Upah,SNI-M.6.20,LANTAI 1,L.007,0.02
b. Upah,SNI-M.6.20,LANTAI 1,L.010,0.01
a. Bahan,SNI-M.6.21,LANTAI 1,M.011h,0.1
a. Bahan,SNI-M.6.21,LANTAI 1,M.012n,0.01
a. Bahan,SNI-M.6.21,LANTAI 1,M.005u,0.002
b. Upah,SNI-M.6.21,LANTAI 1,L.008,0.25
b. Upah,SNI-M.6.21,LANTAI 1,L.004,0.225
b. Upah,SNI-M.6.21,LANTAI 1,L.007,0.0225
b. Upah,SNI-M.6.21,LANTAI 1,L.010,0.0075
a. Bahan,SNI-M.6.24,LANTAI 1,M.011,0.36
b. Upah,SNI-M.6.24,LANTAI 1,L.008,0.5
b. Upah,SNI-M.6.24,LANTAI 1,L.004,0.8
b. Upah,SNI-M.6.24,LANTAI 1,L.007,0.3
b. Upah,SNI-M.6.24,LANTAI 1,L.010,0.2
b. Upah,SNI-F.6.35a,LANTAI 1,L.010,0.005
b. Upah,SNI-F.6.35a,LANTAI 1,L.007,0.01
b. Upah,SNI-F.6.35a,LANTAI 1,L.002,0.1
b. Upah,SNI-F.6.35a,LANTAI 1,L.008,0.1
a. Bahan,SNI-F.6.35a,LANTAI 1,M.006,0.15
a. Bahan,SNI-F.6.35a,LANTAI 1,M.005i,0.014
a. Bahan,SNI-F.6.35b,LANTAI 1,M.005h,0.014
a. Bahan,SNI-F.6.35b,LANTAI 1,M.006,0.15
b. Upah,SNI-F.6.35b,LANTAI 1,L.008,0.1
b. Upah,SNI-F.6.35b,LANTAI 1,L.002,0.1
b. Upah,SNI-F.6.35b,LANTAI 1,L.007,0.01
b. Upah,SNI-F.6.35b,LANTAI 1,L.010,0.005
a. Bahan,SNI-F.6.35c,LANTAI 1,M.005D2,1.2
a. Bahan,SNI-F.6.35c,LANTAI 1,M.003f,0.14
a. Bahan,SNI-F.6.35c,LANTAI 1,M.006,0.08
b. Upah,SNI-F.6.35c,LANTAI 1,L.008,6
b. Upah,SNI-F.6.35c,LANTAI 1,L.002,18
b. Upah,SNI-F.6.35c,LANTAI 1,L.007,0.01
b. Upah,SNI-F.6.35c,LANTAI 1,L.010,0.005
a. Bahan,SNI-F.6.35d,LANTAI 1,M.005d,1.2
a. Bahan,SNI-F.6.35d,LANTAI 1,M.003f,0.14
a. Bahan,SNI-F.6.35d,LANTAI 1,M.006,0.08
b. Upah,SNI-F.6.35d,LANTAI 1,L.008,6
b. Upah,SNI-F.6.35d,LANTAI 1,L.002,18
b. Upah,SNI-F.6.35d,LANTAI 1,L.007,0.01
b. Upah,SNI-F.6.35d,LANTAI 1,L.010,0.005
